name_enfood,Old,Teen,Mature,Child,Pregnant,OldStatus,TeenStatus,MatureStatus,ChildStatus,PregnantStatus,General,GeneralStatus
beef,"Sử dụng một lượng vừa phải thịt bò là hợp lý khi protein trong thịt bò có thể giúp phòng tránh chứng teo cơ. . Người cao tuổi nên giảm khẩu phần thịt và thay vào đó là các thực phẩm giàu canxi như cá, tôm hay các protein từ thực vât cũng như chất xơ giúp giảm lượng cholesterol.","Thanh thiếu niên ở tuổi dậy thì nên sử dụng thịt bò cũng như các loại thịt đỏ để bổ sung lượng sắt cần thiệt cho cơ thể ( 18- 20mg) cũng như các vitamin vàc chất khoáng có lợi. Ngoài ra lượng protein cao trong thịt bò giúp tăng khả năng phục hồi, đặc biệt là sau các hoạt động thể dục thể thao.",a,"Thịt bò với lượng lớn sắt, protein và vitamin B6, B12 giúp đảm bảo quá trình phát triển cũng như phòng tránh bệnh thiếu máu. Do vậy trẻ nhỏ nên sử dụng thịt bò trong khẩu phần ăn của mình.  ","Thịt bò với nhiều chất dinh dưỡng và chất khoáng, đặc biệt là sắt và kẽm, giúp đảm bảo sự phát triển của thai nhi cũng như sức khoẻ của bà bầu. Nguồn sắt trong thịt bò có thể giúp bà bầu phòng tránh bệnh thiếu máu và các triệu chứng chóng mặt, đau đầu, buồn nôn. Cùng với đó các vitamin có lợi như B6, B12 cũng đảm bảo sự phát triển của thai nhi được tốt hơn. ",Moderate,Good,Moderate,Good,Good,"Thịt bò nhiều các chất khoáng như sắt, kẽm, vitamin B6, B12 và protein nên có lợi ích tốt cho sức khoẻ. Thịt bò có thể chống thiếu máu, giúp đảm bảo quá trình hồi phục của cơ thể sau quá trình vận động với cường độ cao.",Good
pork,"Thit lợn là nguồn dinh dưỡng cao, tuy vậy cũng đi kèm nguồn đạm và chất béo động vật cao, có thể gây ra các vấn đề về tim mạch. Do vậy người già nên sử dụng thịt lợn với 1 khẩu phần hợp lý trong tuần(100gram 1 lần, tuần 2, 3 lần). ",Thịt lợn với nguồi dinh dưỡng dồi dào có lợi cho sức khoẻ. Tuy vậy nên lưu ý sử dụng thịt lợn nấu chín để tránh sán ,"Ở độ tuổi trung niên, tiêu thụ nhiều đạm  có thể dẫn đến các vấn đề về sức khoẻ như mỡ máu cao hay các bệnh về tim mạch, ung thư. Vì vậy chỉ nên sử dụng một lượng thịt vừa phải, k nấu quá mặn và nhiều giàu mỡ cùng như tăng cường chất xơ từ rau xanh và hoa quả."," Hàm lượng dinh dưỡng trong thịt heo có tới hơn 20 loại acid amin không thể thay thế được và rất cần với cơ thể con người, đặc biệt là trẻ nhỏ đang trong giai đoạn phát triển và hoàn thiện. Đồng thời, trong thịt heo cũng có chứa các chất chiết xuất tan trong nước như creatin, glycogen, acid latic… Các chất này tạo ra mùi vị đặc biệt, kích thích tiết dịch vị rất tốt cho hệ tiêu hóa của trẻ"," Thịt lợn với những dưỡng chất quan trọng như là protein, trong 100g thịt lợn có tới 29g protein. Ngoài ra, thịt lợn còn chứa nhiều vitamin D, vitamin K, vitamin B, B1, B2, vitamin A và các axit amin thiết yếu.",Moderate,Good,Moderate,Good,Good,"Thịt lợn là nguồn thực phầm dồi dào Vitamin B1,B2, B6 cũng như các chất khoáng như sắt và kẽm, có lợi cho sức khoẻ và sự hồi phục của cơ thể sau quá trình lao động.",Good
chicken,"Tiêu thụ một lượng thìt gà vừa đủ, nhất là phần thịt trắng có lợi cho sức khoẻ của người già khi vừa đảm bảo lượng chất dinh dưỡng cần thiết, vừa giảm được lượng chất béo hấp thụ vào. Tuy nhiên vẫn cần đảm bảo sự đa dạng của thực phẩm, k nên ăn 1 món quá nhiều.","Trẻ ở độ tuổi này cần nguồn năng lượng dồi dào để phát triển, do đó thịt gà là một thực phẩm tốt với trẻ ở độ tuổi dậy thì với nguồn protein, chất khoáng và chất béo có lợi dồi dào","Thịt gà, đặc biệt là phần thịt trắng( ức gà) là nguồn dinh dưỡng tốt cho độ tuổi này khi vừa đảm bảo lượng dinh dưỡng, vừa giảm được lượng cholesterol hấp thụ vào so với sử dụng các loại thịt đỏ.","Thịt gà với lượng protein cùng ác khoáng chất như sắt,kali hay canxi cao có lợi cho sự phát triển về mặt thể chất cũng như hệ miễn dịch, hệ tuần hoàn của trẻ em. ","thịt gà có tác dụng giảm phù nề, an tahi, bổ sung dinh dưỡng cho những mẹ bị suy nhược. Tuy nhiên không nên ăn quá nhiều thịt gà. ",Moderate,Good,Moderate,Good,Good,"Thịt gà với lương protein và các chất dinh dưỡng như canxi, phốt pho và sắt giúp cung cấp đủ chất dinh dưỡng cho cơ thể, ngừa loãng xương, tốt cho sức khoẻ tim mạch",Good
lamb,"Thịt cừu cũng như một số loại thịt đỏ khác là nguồi dinh dưỡng phong phú với protein, các chất khoáng như sắt, kẽm hay các loại vitamin và chất béo. Do vây, người lớn tuổi có thể tiêu thụ 1 lượng vừa đủ thịt cừu trong chế độ dinh dưỡng của mình để đảm bảo cơ thể có đủ các chất cần thiết để đảm bảo sức khoẻ. Cùng với đọ, người ở độ tuổi này không nên tiêu thụ quá nhiều thịt mà nên thay vào đó là các loại rau xanh và hoa quả chín để đảm bảo sức khoẻ.","Thanh thiếu niên ở tuổi dậy thì nên sử dụng thịt bò cũng như các loại thịt đỏ để bổ sung lượng sắt cần thiệt cho cơ thể ( 18- 20mg) cũng như các vitamin vàc chất khoáng có lợi. Ngoài ra lượng protein cao trong thịt bò giúp tăng khả năng phục hồi, đặc biệt là sau các hoạt động thể dục thể thao.","Ở độ tuổi trung niên, tiêu thụ nhiều đạm, đặc biệt từ các loại thịt đỏ có thể dẫn đến các vấn đề về sức khoẻ như mỡ máu cao hay các bệnh về tim mạch, ung thư. Vì vậy thay vì sử dụng thịt đỏ, nên chuyển sang sử dụng thịt trắng( ức gà ) và dung nạp các loại protein từ thực vật","Thịt cừu với lượng lớn sắt, protein và vitamin B6, B12 giúp đảm bảo quá trình phát triển cũng như phòng tránh bệnh thiếu máu. Do vậy trẻ nhỏ nên sử dụng thịt bò trong khẩu phần ăn của mình.  ","Thịt cừu với lượng lớn sắt, protein và vitamin B6, B12 giúp đảm bảo quá trình phát triển cũng như phòng tránh bệnh thiếu máu. Do vậy trẻ nhỏ nên sử dụng thịt bò trong khẩu phần ăn của mình.",Moderate,Good,Moderate,Good,Good,"Thịt cừu nhiều các chất khoáng như sắt, kẽm, vitamin B6, B12 và protein nên có lợi ích tốt cho sức khoẻ. Thịt cừu có thể chống thiếu máu, giúp đảm bảo quá trình hồi phục của cơ thể sau quá trình vận động với cường độ cao.",Good
shrimp,"Tôm cung cấp protein, bổ sung vitamin B12, và một số chất khoáng có lợi như sắt và canxi nên với 1 lượng tiêu thụ phù hợp, tôm có lợi cho sức khoẻ. Tuy vây, tiêu thụ quá nhiều tôm ( hơn 100g 1 ngày) có thể gây ra 1 số vấn đề về tiêu hoá như đầy bụng, khó tiêu. Ngoài ra nguồn đạm trong tôm cũng có thể gây ra 1 số bệnh tim mạch nên tiêu thụ nhiều.","Tôm cung cấp protein, bổ sung vitamin B12, và một số chất khoáng có lợi như sắt và canxi nên với 1 lượng tiêu thụ phù hợp, tôm có lợi cho sức khoẻ. Tuy vây, tiêu thụ quá nhiều tôm ( hơn 100g 1 ngày) có thể gây ra 1 số vấn đề về tiêu hoá như đầy bụng, khó tiêu.","Tôm cung cấp protein, bổ sung vitamin B12, và một số chất khoáng có lợi như sắt và canxi nên với 1 lượng tiêu thụ phù hợp, tôm có lợi cho sức khoẻ. Tuy vây, tiêu thụ quá nhiều tôm ( hơn 100g 1 ngày) có thể gây ra 1 số vấn đề về tiêu hoá như đầy bụng, khó tiêu. Ngoài ra nguồn đạm trong tôm cũng có thể gây ra 1 số bệnh tim mạch nên tiêu thụ nhiều.","Tôm cũng như 1 số loại hải sản có lượng protein cao và giàu các axit amin thiết yếu giúp trẻ dễ hấp thu, cùng với các loại chất khoáng có lợi cho sức khoẻ","Tôm cũng như 1 số loại hải sản có lượng protein cao và giàu các axit amin thiết yếu giúp dễ hấp thu, cùng với các loại chất khoáng có lợi cho sức khoẻ như sắt giúp đảm bảo sức khoẻ bà bầu.",Moderate,Good,Moderate,Good,Good,"Tôm cũng như 1 số loại hải sản có lượng protein cao và giàu các axit amin thiết yếu giúp dễ hấp thu, cùng với các loại chất khoáng có lợi cho sức khoẻ, cùng với mucopolysaccharide, giúp chống ung thư.",Good
crab,"Cua có hàm lượng Natri và đạm cao, cùng với đó dễ gây dị ứng và nhiễm khuẩn và sán phổi. Do vậy nên sử dụng cua một cách hạn chế và được chế biến cẩn thận.","Cua có hàm lượng Natri và đạm cao, cùng với đó dễ gây dị ứng và nhiễm khuẩn và sán phổi. Do vậy nên sử dụng cua một cách hạn chế và được chế biến cẩn thận.","Cua có hàm lượng Natri và đạm cao, cùng với đó dễ gây dị ứng và nhiễm khuẩn và sán phổi. Do vậy nên sử dụng cua một cách hạn chế và được chế biến cẩn thận.","Cua có hàm lượng Natri và đạm cao, cùng với đó dễ gây dị ứng và nhiễm khuẩn và sán phổi. Do vậy trẻ nhỏ không nên sử dụng cua quá nhiều ","Cua có hàm lượng Natri và đạm cao, cùng với đó dễ gây dị ứng và nhiễm khuẩn và sán phổi. Do vậy nên sử dụng cua một cách hạn chế và được chế biến cẩn thận.",Moderate,Moderate,Moderate,Moderate,Moderate,"Cua có hàm lượng Natri và đạm cao, cùng với đó dễ gây dị ứng và nhiễm khuẩn và sán phổi. Do vậy nên sử dụng cua một cách hạn chế và được chế biến cẩn thận.",Moderate
egg,"Trứng có những chất đạm có giá trị sinh học cao và canxi, sắt, Vitamin A tốt cho người cao tuổi. Tuy vậy hàm lượng cholesterol cao đem lại lo ngại cho bệnh tim mạch. Do vậy nên dùng tầm 3 quả trứng 1 tuần. ","Trứng có những chất đạm có giá trị sinh học cao và canxi, sắt, Vitamin A tốt cho sức khoẻ. Do vậy thanh thiếu niên có thể sử dụng trứng để đảm bảo sức khoẻ.","Trứng có những chất đạm có giá trị sinh học cao và canxi, sắt, Vitamin A tốt cho sức khoẻ. Tuy vậy hàm lượng cholesterol cao đem lại lo ngại cho bệnh tim mạch. Do vậy nên dùng tầm 3 quả trứng 1 tuần","Trứng có những chất đạm có giá trị sinh học cao và canxi, sắt, Vitamin A tốt cho người cao tuổi. Tuy vậy hàm lượng cholesterol cao có thể khiến trẻ bị đầy bụng, rối loạn tiêu hoá. Do vậy nên sử dụng trứng 1 cách điều độ","Trứng với lượng protein, chất đạm, Vitamin D cao rất tốt cho sự phát triển của bà bầu và thai nhi. Tuy vậy trong trứng cũng có hàm lượng cholesterol cao, do đó nên sử dụng trứng 1 cách điều độ và hợp lý.",Moderate,Good,Moderate,Moderate,Good,"Trứng có những chất đạm có giá trị sinh học cao và canxi, sắt, Vitamin A tốt cho",Good
lobster,"Trứng có những chất đạm có giá trị sinh học cao và canxi, sắt, Vitamin A tốt cho","Tôm cung cấp protein, bổ sung vitamin B12, và một số chất khoáng có lợi như sắt và canxi nên với 1 lượng tiêu thụ phù hợp, tôm có lợi cho sức khoẻ. Tuy vây, tiêu thụ quá nhiều tôm ( hơn 100g 1 ngày) có thể gây ra 1 số vấn đề về tiêu hoá như đầy bụng, khó tiêu.","Tôm cung cấp protein, bổ sung vitamin B12, và một số chất khoáng có lợi như sắt và canxi nên với 1 lượng tiêu thụ phù hợp, tôm có lợi cho sức khoẻ. Tuy vây, tiêu thụ quá nhiều tôm ( hơn 100g 1 ngày) có thể gây ra 1 số vấn đề về tiêu hoá như đầy bụng, khó tiêu. Ngoài ra nguồn đạm trong tôm cũng có thể gây ra 1 số bệnh tim mạch nên tiêu thụ nhiều.","Tôm cũng như 1 số loại hải sản có lượng protein cao và giàu các axit amin thiết yếu giúp trẻ dễ hấp thu, cùng với các loại chất khoáng có lợi cho sức khoẻ","Tôm cũng như 1 số loại hải sản có lượng protein cao và giàu các axit amin thiết yếu giúp trẻ dễ hấp thu, cùng với các loại chất khoáng có lợi cho sức khoẻ",Moderate,Good,Moderate,Good,Good,"Tôm cũng như 1 số loại hải sản có lượng protein cao và giàu các axit amin thiết yếu giúp trẻ dễ hấp thu, cùng với các loại chất khoáng có lợi cho sức khoẻ",Good
veal,"Sử dụng một lượng vừa phải thịt bê là hợp lý khi protein trong thịt bò có thể giúp phòng tránh chứng teo cơ. . Người cao tuổi nên giảm khẩu phần thịt và thay vào đó là các thực phẩm giàu canxi như cá, tôm hay các protein từ thực vât cũng như chất xơ giúp giảm lượng cholesterol.","Thanh thiếu niên ở tuổi dậy thì nên sử dụng thịt bê cũng như các loại thịt đỏ để bổ sung lượng sắt cần thiệt cho cơ thể ( 18- 20mg) cũng như các vitamin vàc chất khoáng có lợi. Ngoài ra lượng protein cao trong thịt bò giúp tăng khả năng phục hồi, đặc biệt là sau các hoạt động thể dục thể thao.","Ở độ tuổi trung niên, tiêu thụ nhiều đạm, đặc biệt từ các loại thịt đỏ có thể dẫn đến các vấn đề về sức khoẻ như mỡ máu cao hay các bệnh về tim mạch, ung thư. Vì vậy thay vì sử dụng thịt đỏ, nên chuyển sang sử dụng thịt trắng( ức gà ) và dung nạp các loại protein từ thực vật","Thịt bê với lượng lớn sắt, protein và vitamin B6, B12 giúp đảm bảo quá trình phát triển cũng như phòng tránh bệnh thiếu máu. Do vậy trẻ nhỏ nên sử dụng thịt bò trong khẩu phần ăn của mình.  ","Thịt bê với nhiều chất dinh dưỡng và chất khoáng, đặc biệt là sắt và kẽm, giúp đảm bảo sự phát triển của thai nhi cũng như sức khoẻ của bà bầu. Nguồn sắt trong thịt bò có thể giúp bà bầu phòng tránh bệnh thiếu máu và các triệu chứng chóng mặt, đau đầu, buồn nôn. Cùng với đó các vitamin có lợi như B6, B12 cũng đảm bảo sự phát triển của thai nhi được tốt hơn.",Moderate,Good,Moderate,Good,Good,"Thịt bò với nhiều chất dinh dưỡng và chất khoáng, đặc biệt là sắt và kẽm,do đó có lợi cho sức khoẻ. ",Good
banana,"Chuối là nhóm trái cây giàu chất dinh dưỡng nhất như vitamin A, B, C, E cùng các khoáng chất thiết yếu như kẽm, sắt, kali,… mang tới nhiều lợi ích cho sức khỏe,","Chuối là nhóm trái cây giàu chất dinh dưỡng nhất như vitamin A, B, C, E cùng các khoáng chất thiết yếu như kẽm, sắt, kali,… mang tới nhiều lợi ích cho sức khỏe,","Chuối là nhóm trái cây giàu chất dinh dưỡng nhất như vitamin A, B, C, E cùng các khoáng chất thiết yếu như kẽm, sắt, kali,… mang tới nhiều lợi ích cho sức khỏe,","Chuối là nhóm trái cây giàu chất dinh dưỡng nhất như vitamin A, B, C, E cùng các khoáng chất thiết yếu như kẽm, sắt, kali,… mang tới nhiều lợi ích cho sức khỏe,","Chuối là nhóm trái cây giàu chất dinh dưỡng nhất như vitamin A, B, C, E cùng các khoáng chất thiết yếu như kẽm, sắt, kali,… mang tới nhiều lợi ích cho sức khỏe,",Good,Good,Good,Good,Good,"Chuối là nhóm trái cây giàu chất dinh dưỡng nhất như vitamin A, B, C, E cùng các khoáng chất thiết yếu như kẽm, sắt, kali,… mang tới nhiều lợi ích cho sức khỏe,",Good
